"Reaction Abbreviation","EC Number"
"R_APRAUR","1.1.1.193"
"R_ARAI","5.3.1.4"
"R_ARGDC","4.1.1.19"
"R_ARGDCpp","4.1.1.19"
"R_ARGSL","4.3.2.1"
"R_ARGSS","6.3.4.5"
"R_ARGTRS","6.1.1.19"
"R_ASAD","1.2.1.11"
"R_ASNN","3.5.1.1"
"R_ASNNpp","3.5.1.1"
"R_ASNS1","6.3.5.4"
"R_ASNS2","6.3.1.1"
"R_ASNTRS","6.1.1.22"
"R_ASP1DC","4.1.1.11"
"R_ASPCT","2.1.3.2"
"R_ASPK","2.7.2.4"
"R_ASPT","4.3.1.1"
"R_ASPTA","2.6.1.1"
"R_ASPTRS","6.1.1.12"
"R_AST","2.3.1.109"
"R_ATPPRT","2.4.2.17"
"R_ATPS4rpp","3.6.3.14"
"R_BETALDHx","1.2.1.8"
"R_BETALDHy","1.2.1.8"
"R_BPNT","3.1.3.7"
"R_BTS4","2.8.1.6"
"R_BTS5","2.8.1.6"
"R_BUTCT","2.8.3.8"
"R_CAT","1.11.1.6"
"R_CBIAT","2.5.1.17"
"R_CBLAT","2.5.1.17"
"R_CBMKr","2.7.2.2"
"R_CBPS","6.3.5.5"
"R_CDAPPA120","3.6.1.26"
"R_CDAPPA140","3.6.1.26"
"R_CDAPPA141","3.6.1.26"
"R_CDAPPA160","3.6.1.26"
"R_CDAPPA161","3.6.1.26"
"R_CDAPPA180","3.6.1.26"
"R_CDAPPA181","3.6.1.26"
"R_CFAS160E","2.1.1.79"
"R_CFAS160G","2.1.1.79"
"R_CFAS180E","2.1.1.79"
"R_CFAS180G","2.1.1.79"
"R_CHOLD","1.1.99.1"
"R_CHORM","5.4.99.5"
"R_CHORS","4.2.3.5"
"R_CITL","4.1.3.6"
"R_CMPN","3.2.2.10"
"R_CPPPGO","1.3.3.3"
"R_CS","2.3.3.1"
"R_CSND","3.5.4.1"
"R_CTECOAI6","5.3.3.8"
"R_CTECOAI7","5.3.3.8"
"R_CTECOAI8","5.3.3.8"
"R_CTPS2","6.3.4.2"
"R_CYANST","2.8.1.1"
"R_CYANSTpp","2.8.1.1"
"R_CYSDDS","4.4.1.15"
"R_CYSDS","4.1.99.1"
"R_CYSSADS","4.1.1.12"
"R_CYSTL","4.4.1.8"
"R_CYSTRS","6.1.1.16"
"R_CYTBDpp","1.9.3.- 1.10.3.-"
"R_CYTD","3.5.4.5"
"R_CYTDH","3.2.2.8"
"R_CYTK1","2.7.4.14"
"R_CYTK2","2.7.4.14"
"R_DAAD","1.4.99.1"
"R_DADK","2.7.4.11"
"R_DAGK120","2.7.1.107"
"R_DAGK140","2.7.1.107"
"R_DAGK141","2.7.1.107"
"R_DAGK160","2.7.1.107"
"R_DAGK161","2.7.1.107"
"R_DAGK180","2.7.1.107"
"R_DAGK181","2.7.1.107"
"R_DAPAL","4.3.1.15"
"R_DAPDC","4.1.1.20"
"R_DAPE","5.1.1.7"
"R_DASYN120","2.7.7.41"
"R_DASYN140","2.7.7.41"
"R_DASYN141","2.7.7.41"
"R_DASYN160","2.7.7.41"
"R_DASYN161","2.7.7.41"
"R_DASYN180","2.7.7.41"
"R_DASYN181","2.7.7.41"
"R_DBTS","6.3.3.3"
"R_DCTPD","3.5.4.13"
"R_DCYTD","3.5.4.14"
"R_DDGALK","2.7.1.58"
"R_DDGLK","2.7.1.45"
"R_DDPA","4.1.2.15"
"R_DDPGALA","4.1.2.21"
"R_DGK1","2.7.4.8"
"R_DHAD1","4.2.1.9"
"R_DHBD","1.3.1.28"
"R_DHBS","2.7.7.58"
"R_DHDPRy","1.3.1.26"
"R_DHDPS","4.2.1.52"
"R_DHFR","1.5.1.3"
"R_DHFS","6.3.2.12"
"R_DHNPA2r","4.1.2.25"
"R_DHORD2","1.3.3.1"
"R_DHORD5","1.3.3.1"
"R_DHORTS","3.5.2.3"
"R_DHPPDA2","3.5.4.26"
"R_DHPS2","2.5.1.15"
"R_DHQS","4.2.3.4"
"R_DHQTi","4.2.1.10"
"R_DMATT","2.5.1.1"
"R_DPCOAK","2.7.1.24"
"R_DPR","1.1.1.169"
"R_DRPA","4.1.2.4"
"R_DTARTD","4.2.1.81"
"R_DTMPK","2.7.4.9"
"R_DURADx","1.3.1.1"
"R_DUTPDP","3.6.1.23"
"R_EAR100x","1.3.1.9"
"R_EAR100y","1.3.1.10"
"R_EAR120x","1.3.1.9"
"R_EAR120y","1.3.1.10"
"R_EAR121x","1.3.1.9"
"R_EAR121y","1.3.1.10"
"R_EAR140x","1.3.1.9"
"R_EAR140y","1.3.1.10"
"R_EAR141x","1.3.1.9"
"R_EAR141y","1.3.1.10"
"R_EAR160x","1.3.1.9"
"R_EAR160y","1.3.1.10"
"R_EAR161x","1.3.1.9"
"R_EAR161y","1.3.1.10"
"R_EAR180x","1.3.1.9"
"R_EAR180y","1.3.1.10"
"R_EAR181x","1.3.1.9"
"R_EAR181y","1.3.1.10"
"R_EAR40x","1.3.1.9"
"R_EAR40y","1.3.1.10"
"R_EAR60x","1.3.1.9"
"R_EAR60y","1.3.1.10"
"R_EAR80x","1.3.1.9"
"R_EAR80y","1.3.1.10"
"R_ECOAH1","4.2.1.17"
"R_ECOAH2","4.2.1.17"
"R_ECOAH3","4.2.1.17"
"R_ECOAH4","4.2.1.17"
"R_ECOAH5","4.2.1.17"
"R_ECOAH6","4.2.1.17"
"R_ECOAH7","4.2.1.17"
"R_ECOAH8","4.2.1.17"
