"CHEBI ID","KEGG ID"
"17167","C00937"
"9362","C07320"
"77260","C07324"
"17381","C00931"
"27389","C05145"
"15351","C00024"
"27647","C05956"
"17071","C00266"
"16796","C01598"
"2379","C06803"
"18248","C00023"
"27485","C05957"
"42106","C00265"
"46195","C06804"
"32816","C00022"
"28099","C05954"
"16680","C00021"
"27555","C05955"
"15699","C00263"
"16027","C00020"
"17368","C00262"
"42147","C01119"
"28130","C05958"
"27595","C05959"
"8776","D00673"
"37623","C15520"
"15374","C15522"
"28279","C16614"
"75988","C11153"
"1267082","C16619"
"58489","C03771"
"17877","C01352"
"49268","C01110"
"6375","C01594"
"15650","C05952"
"16240","C00027"
"28976","C01353"
"17351","C01595"
"30915","C00026"
"27562","C05950"
"16015","C00025"
"4975","C00025"
"17925","C00267"
"1044940","C05951"
"17552","C00035"
"18384","C03546"
"28931","C01367"
"15366","C00033"
"30923","C01127"
"49728","C00275"
"15626","C05965"
"6472","C06812"
"17627","C00032"
"15628","C05966"
"4167","C00031"
"17123","C02218"
"15372","C00272"
"64491","C00272"
"59560","C00272"
"8764","C07908"
"149836","C12012"
"37616","C15519"
"586865","C16608"
"16893","C01120"
"28728","C05963"
"29105","C00038"
"28624","C03541"
"27650","C03541"
"28667","C05964"
"15428","C00037"
"28158","C05961"
"48153","C00279"
"30744","C00036"
"28269","C05962"
"17001","C04874"
"16485","C01124"
"17544","C00288"
"2668","C06825"
"6438","C07914"
"15625","C01137"
"28831","C05979"
"6897","C07915"
"15996","C00044"
"16497","C00286"
"15436","C02469"
"2663","C06823"
"16264","C00043"
"15449","C04405"
"15741","C00042"
"16977","C00041"
"16136","C00283"
"18276","C00282"
"15721","C00281"
"995","C04409"
"16422","C00280"
"48462","C16637"
"161315","C11173"
"17311","C03793"
"18413","C04640"
"2639","C06821"
"17053","C00049"
"15919","C03794"
"16891","C00048"
"16858","C01134"
"15494","C04644"
"18258","C02465"
"18019","C00047"
"2637","C06820"
"16704","C00299"
"36489","C05503"
"2948","C06837"
"18020","C01149"
"17361","C00055"
"2910","C06834"
"17985","C00054"
"17980","C00053"
"16742","C00295"
"67119","C00052"
"17596","C00294"
"16856","C00051"
"2955","C06838"
"16618","C05981"
"217069","C02470"
"15452","C03561"
"36761","C03564"
"15899","C01143"
"18372","C04895"
"1296","C05500"
"16189","C00059"
"385115","C05502"
"62415","C05983"
"30751","C00058"
"1294","C05501"
"9532","C00068"
"16842","C00067"
"17720","C01159"
"28291","C05998"
"17115","C00065"
"18050","C00064"
"17677","C00063"
"16467","C00062"
"3082","C06849"
"17621","C00061"
"288752","C16653"
"37666","C05993"
"27596","C01152"
"3011","C06843"
"17577","C04424"
"27581","C05995"
"28997","C05512"
"17295","C00079"
"28421","C05769"
"16828","C00078"
"8024","C07706"
"15729","C00077"
"27484","C05767"
"29108","C00076"
"28607","C05768"
"288707","C07704"
"15713","C00075"
"44897","C00074"
"16643","C00073"
"29073","C00072"
"29036","C00070"
"105985","C16641"
"45744","C19910"
"37998","C15557"
"410867","C16648"
"41941","C01161"
"17759","C01164"
"17232","C01165"
"15476","C03344"
"28766","C05766"
"18406","C04677"
"3127","C06852"
"15478","C03345"
"17992","C00089"
"3387","C06868"
"16199","C00086"
"15946","C00085"
"15343","C00084"
"15531","C00083"
"17895","C00082"
"16039","C00081"
"15378","C00080"
"63795","C16677"
"269971","C16678"
"17719","C01172"
"27609","C05770"
"17500","C03594"
"17252","C01176"
"27701","C06624"
"7582","C07713"
"9434","C07710"
"15890","C03114"
"15999","C01179"
"16958","C00099"
"17561","C00097"
"15820","C00096"
"17359","C00094"
"15978","C00093"
"4170","C00092"
"15380","C00091"
"18135","C00090"
"33574","C01180"
"1941","C01181"
"15763","C01185"
"18392","C05787"
"9605","C07965"
"3558","C07966"
"17168","C01189"
"3437","C06874"
"3441","C06875"
"28790","C00780"
"18183","C01879"
"5779","C08024"
"9316","C08022"
"8802","C08021"
"16436","C00307"
"18420","C00305"
"18357","C00547"
"28918","C00788"
"17158","C00546"
"44747","C00544"
"16960","C00301"
"30817","C00785"
"17170","C00543"
"16919","C00300"
"17924","C00794"
"168396","C20380"
"15816","C00792"
"17636","C00550"
"17906","C01888"
"15365","C01405"
"15745","C03824"
"64689","C20383"
"607727","C14717"
"48669","C12535"
"75466","C13861"
"9943","C07187"
"77733","C07188"
"39867","C07185"
"16393","C00319"
"16347","C00318"
"17256","C00559"
"16610","C00315"
"15522","C00798"
"16709","C00314"
"4513","C00796"
"30887","C00311"
"28319","C02985"
"27958","C01416"
"18349","C03838"
"4047","C01419"
"783","C05499  "
"258351","C11696"
"17813","C11455"
"47977","C00329"
"16946","C00328"
"16349","C00327"
"17009","C00325"
"15753","C00322"
"15345","C00332"
"16608","C03845"
