"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition","FORMULA","KEGG ID"
"M_gln_L_b","gln_L_b","    ","C_e","true"," ","C00064"
"M_glu_L_b","glu_L_b","    ","C_e","true"," ","C00025"
"M_h2o_b","h2o_b","    ","C_e","true"," ","C00001"
"M_h_b","h_b","    ","C_e","true"," ","C00080"
"M_lac_D_b","lac_D_b","    ","C_e","true"," ","C00256"
"M_mal_L_b","mal_L_b","    ","C_e","true"," ","C00149"
"M_nh4_b","nh4_b","    ","C_e","true"," ","C01342"
"M_o2_b","o2_b","    ","C_e","true"," ","C00007"
"M_pi_b","pi_b","    ","C_e","true"," ","C00009"
"M_pyr_b","pyr_b","    ","C_e","true"," ","C00022"
"M_succ_b","succ_b","    ","C_e","true"," ","C00042"
